award_id,organization,year,award_category,award,person,role,episode_id,season,song,result
100,"Golden Globes, USA",2003,Golden Globe,Best Television Series - Comedy or Musical,,,,,,Nominee
101,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,James L. Brooks,executive producer,S30-E11,,,Winner
102,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Matt Groening,executive producer,S30-E11,,,Winner
103,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Al Jean,executive producer,S30-E11,,,Winner
104,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Matt Selman,executive producer,S30-E11,,,Winner
105,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,John Frink,executive producer,S30-E11,,,Winner
106,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,J. Stewart Burns,co-executive producer,S30-E11,,,Winner
107,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Bill Odenkirk,co-executive producer,S30-E11,,,Winner
108,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Joel H. Cohen,co-executive producer,S30-E11,,,Winner
109,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Rob LaZebnik,co-executive producer,S30-E11,,,Winner
110,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Jeff Westbrook,co-executive producer,S30-E11,,,Winner
111,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Brian Kelley,co-executive producer,S30-E11,,,Winner
112,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Dan Vebber,co-executive producer,S30-E11,,,Winner
113,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Ryan Koh,co-executive producer,S30-E11,,,Winner
114,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Richard Raynis,producer,S30-E11,,,Winner
115,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Tom Klein,animation producer,S30-E11,,,Winner
116,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Andrea Romero,animation producer,S30-E11,,,Winner
117,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Mike B. Anderson,supervising producer,S30-E11,,,Winner
118,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Michael Price,writer,S30-E11,,,Winner
119,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Rob Oliver,director,S30-E11,,,Winner
120,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Eddie Rosas,assistant director,S30-E11,,,Winner
121,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Animated Program,Carlton Batten,lead animation timer,S30-E11,,,Winner
122,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Character Voice-Over Performance,Hank Azaria,,S30-E6,,,Nominee
123,Primetime Emmy Awards,2019,Primetime Emmy,Outstanding Character Voice-Over Performance,Fox Network,,S30-E6,,,Nominee
124,Primetime Emmy Awards,2018,Primetime Emmy,Outstanding Individual Achievement in Animation,Caroline Cruikshank,character animator,S29-E2,,,Winner
125,Primetime Emmy Awards,2018,Primetime Emmy,Outstanding Individual Achievement in Animation,Fox Network,,S29-E2,,,Winner
126,Primetime Emmy Awards,2018,Primetime Emmy,Outstanding Character Voice-Over Performance,Dan Castellaneta,,S29-E14,,,Nominee
127,Primetime Emmy Awards,2018,Primetime Emmy,Outstanding Character Voice-Over Performance,Fox Network,,S29-E14,,,Nominee
128,Primetime Emmy Awards,2018,Primetime Emmy,Outstanding Animated Program,James L. Brooks,executive producer,S29-E9,,,Nominee
129,Primetime Emmy Awards,2018,Primetime Emmy,Outstanding Animated Program,Matt Groening,executive producer,S29-E9,,,Nominee
130,Primetime Emmy Awards,2018,Primetime Emmy,Outstanding Animated Program,Al Jean,executive producer,S29-E9,,,Nominee
