name,birthdate,birth_name,birth_place,birth_region,birth_country,height_meters,nickname
Michael Cera,1988-06-07,Michael Austin Cera,Brampton,Ontario,Canada,1.75,Mike
Winona Ryder,1971-10-29,Winona Laura Horowitz,Winona,Minnesota,USA,1.61,Noni
Kathy Griffin,1960-11-04,Kathleen Mary Griffin,Chicago,Illinois,USA,1.63,Queen of the D-list
Ozzie Smith,1954-12-26,Osborne Earl Smith,Mobile,Alabama,USA,1.78,The Wizard
John Entwistle,1944-10-09,John Alec Entwistle,London,England,UK,1.83,The Ox
Max Weinberg,1951-04-13,Maxwell Weinberg,South Orange,New Jersey,USA,1.75,Mighty Max
Kareem Abdul-Jabbar,1947-04-16,Ferdinand Lewis Alcindor,New York City,New York,USA,2.18,Lew
Channing Tatum,1980-04-26,Channing Matthew Tatum,Cullman,Alabama,USA,1.85,Chan
Venus Williams,1980-06-17,Venus Ebony Starr Williams,Lynwood,California,USA,1.85,Queen V
Joey Fatone,1977-01-28,Joseph Anthony Fatone Jr.,Brooklyn,New York,USA,1.81,Super Joey
Andy Williams,1927-12-03,Howard Andrew Williams,Wall Lake,Iowa,USA,1.69,The Emperor of Easy
Daniel Radcliffe,1989-07-23,Daniel Jacob Radcliffe,London,England,UK,1.65,Dan
Robert Wagner,1930-02-10,Robert John Wagner,Detroit,Michigan,USA,1.8,RJ
Martin Short,1950-03-26,Martin Hayter Short,Hamilton,Ontario,Canada,1.69,Shorty
Phil Hartman,1948-09-24,Phillip Edward Hartmann,Brantford,Ontario,Canada,1.79,The Sultan of Smarm
Ludacris,1977-09-11,Christopher Brian Bridges,Champaign,Illinois,USA,1.73,Luda
James Hetfield,1963-08-03,James Alan Hetfield,Downey,California,USA,1.86,Jaymz
David Copperfield,1956-09-16,David Seth Kotkin,Metuchen,New Jersey,USA,1.82,Seth Kotkin
Paul McCartney,1942-06-18,James Paul McCartney,Merseyside,England,UK,1.81,Macca
Bette Midler,1945-12-01,Bette Davis Midler,Honolulu,Hawaii,USA,1.55,The Divine Miss M
Trey Anastasio,1964-09-30,Ernest Joseph Anastasio III,Fort Worth,Texas,USA,1.74,Trey
Thomas DeLonge,1975-12-13,Thomas Matthew DeLonge Jr.,Poway,California,USA,1.93,Hot Pants
Suzanne Somers,1946-10-16,Suzanne Marie Mahoney,San Bruno,California,USA,1.66,The Queen of the Jiggles
Jeff Gordon,1971-08-04,Jeffrey Michael Gordon,Vallejo,California,USA,1.73,Wonder Boy
Vin Scully,1927-11-29,Vincent Edward Scully,Bronx,New York,USA,1.78,The Voice of the Dodgers
Robert Forster,1941-07-13,Robert Wallace Foster Jr.,Rochester,New York,USA,1.77,Bobby
Magic Johnson,1959-08-14,Earvin Johnson,Lansing,Michigan,USA,2.06,Magic
Wallace Shawn,1943-11-12,Wallace Michael Shawn,New York City,New York,USA,1.57,Wally
Rex Harrison,1908-03-05,Reginald Carey Harrison,Huyton,England,UK,1.86,Sexy Rexy
Tony Bennett,1926-08-03,Anthony Dominick Benedetto,New York City,New York,USA,1.71,Joe Barry
Tom Hamilton,1951-12-31,Thomas William Hamilton,Colorado Springs,Colorado,USA,1.85,Mr. Sweet Emotion
Bob Denver,1935-01-09,Robert Osborne David Denver,New Rochelle,New York,USA,1.73,Little buddy
Barry White,1944-09-12,Barrence Eugene Carter,Galveston,Texas,USA,1.92,The Maestro
Lea Michele,1986-08-29,Lea Michele Sarfati,New York City,New York,USA,1.59,Lee
Ron Taylor,1952-10-16,Ronald James Taylor,Galveston,Texas,USA,1.83,Sugar Bear
Jennifer Saunders,1958-07-06,Jennifer Jane Saunders,Lincolnshire,England,UK,1.63,Jen
Dan Castellaneta,1957-10-29,Daniel Louis Castellaneta,Chicago,Illinois,USA,1.75,Doofus
Gregory Peck,1916-04-05,Eldred Gregory Peck,La Jolla,California,USA,1.9,Greg
Ronaldo,1976-09-22,Ronaldo Luis Nazário de Lima,Rio de Janeiro,Rio de Janeiro,Brazil,1.83,Ronnie
Johnny Unitas,1933-05-07,John Constantine Unitas,Pittsburgh,Pennsylvania,USA,1.85,Johnny U
Roger Clemens,1962-08-04,William Roger Clemens,Dayton,Ohio,USA,1.93,Rocketman
Johnny Carson,1925-10-23,John William Carson,Corning,Iowa,USA,1.79,The King of Late-night
Darryl Strawberry,1962-03-12,Darryl Eugene Strawberry,Los Angeles,California,USA,1.96,The Straw Man
Ken Griffey Jr.,1969-11-21,George Kenneth Griffey Jr.,Donora,Pennsylvania,USA,1.91,Junior
Parker Posey,1968-11-08,Parker Christian Posey,Baltimore,Maryland,USA,1.65,Missy
Dolly Parton,1946-01-19,Dolly Rebecca Parton,Sevierville,Tennessee,USA,1.52,The Smoky Mountain Songbird
