episode_id,stars,votes,percent
S10-E1,2,13,0.8
S10-E1,3,15,1.0
S10-E1,4,27,1.7
S10-E1,1,34,2.2
S10-E1,5,53,3.4
S10-E1,6,138,8.9
S10-E1,9,196,12.6
S10-E11,1,35,2.4
S10-E11,5,50,3.5
S10-E11,6,109,7.6
S10-E11,9,181,12.7
S10-E11,10,258,18.0
S10-E11,7,337,23.6
S10-E11,8,409,28.6
S10-E12,2,19,1.3
S10-E1,10,245,15.8
S10-E1,7,413,26.6
S10-E1,8,417,26.9
S10-E10,4,17,1.1
S10-E10,2,18,1.2
S10-E10,3,28,1.8
S10-E10,1,41,2.7
S10-E10,5,48,3.1
S10-E10,6,129,8.5
S10-E10,9,229,15.0
S10-E10,7,276,18.1
S10-E10,10,290,19.0
S10-E10,8,449,29.4
S10-E11,3,13,0.9
S10-E11,2,16,1.1
S10-E11,4,22,1.5
S10-E12,3,27,1.9
S10-E12,4,44,3.1
S10-E12,1,71,5.0
S10-E12,5,95,6.7
S10-E12,9,115,8.1
S10-E12,10,204,14.4
S10-E12,6,237,16.8
S10-E12,8,241,17.1
S10-E12,7,359,25.4
S10-E13,3,14,0.9
S10-E13,2,19,1.3
S10-E13,4,22,1.5
S10-E13,1,34,2.3
S10-E13,5,55,3.7
S10-E13,6,124,8.4
S10-E13,9,185,12.5
S10-E13,10,280,19.0
S10-E13,7,328,22.2
S10-E13,8,415,28.1
S10-E14,2,14,1.0
S10-E14,3,19,1.4
S10-E14,1,38,2.8
S10-E14,4,39,2.9
S10-E14,5,55,4.1
S10-E14,9,111,8.3
S10-E14,6,157,11.7
S10-E14,10,187,13.9
S10-E14,8,331,24.6
S10-E14,7,392,29.2
S10-E15,3,13,1.0
S10-E15,2,15,1.1
S10-E15,4,27,2.0
S11-E11,5,88,7.3
S11-E11,10,121,10.1
S11-E11,8,201,16.7
S11-E11,6,232,19.3
S11-E11,7,364,30.3
S11-E12,3,17,1.4
S11-E12,2,27,2.2
S11-E12,4,39,3.2
S11-E12,5,46,3.8
S11-E12,1,51,4.2
S11-E12,9,102,8.4
S11-E12,6,136,11.2
S11-E12,10,147,12.1
S11-E12,8,282,23.2
S11-E12,7,369,30.3
S11-E13,2,43,3.1
S11-E13,3,47,3.4
S11-E13,4,59,4.3
S11-E13,9,72,5.3
S11-E13,1,92,6.7
S11-E13,5,126,9.2
S11-E13,10,150,11.0
S11-E13,8,193,14.1
S11-E13,6,233,17.1
S11-E13,7,351,25.7
S11-E14,3,16,1.1
S11-E14,4,21,1.4
S11-E14,2,20,1.4
S11-E14,5,41,2.8
S11-E14,6,117,8.1
S11-E14,1,122,8.4
S11-E14,9,190,13.1
S11-E14,10,247,17.0
S11-E14,7,263,18.1
S11-E14,8,415,28.6
S11-E15,2,27,2.1
S11-E15,3,32,2.5
S11-E15,4,34,2.6
S11-E15,1,46,3.6
S11-E15,5,75,5.8
S11-E15,9,131,10.1
S11-E15,6,147,11.4
S11-E15,10,200,15.5
S11-E15,8,293,22.7
S11-E15,7,306,23.7
S11-E16,2,22,1.8
S11-E16,3,23,1.9
S11-E16,4,29,2.4
S11-E16,1,42,3.4
S11-E16,5,55,4.5
S11-E16,9,93,7.5
S11-E16,6,137,11.1
S11-E16,10,148,12.0
S11-E16,8,288,23.4
S11-E16,7,395,32.1
S11-E17,2,28,2.1
S11-E17,3,33,2.4
S11-E17,4,35,2.6
S11-E17,5,81,6.0
S11-E17,1,97,7.2
S11-E17,9,116,8.6
S11-E17,10,163,12.1
S11-E17,6,195,14.5
S11-E17,8,243,18.0
S11-E17,7,357,26.5
S11-E18,2,17,1.4
S11-E18,4,26,2.2
S11-E18,3,29,2.4
S11-E18,1,38,3.2
S11-E18,5,66,5.5
S11-E18,9,108,9.0
S11-E18,6,130,10.9
S11-E18,10,153,12.8
S11-E18,8,284,23.8
S11-E18,7,344,28.8
S11-E19,2,39,2.9
S11-E19,3,44,3.3
S11-E19,4,60,4.5
S11-E19,9,77,5.8
S11-E19,1,82,6.2
S11-E19,5,99,7.4
S11-E19,10,171,12.8
S11-E19,8,175,13.1
S11-E19,6,235,17.6
S11-E19,7,350,26.3
S11-E2,2,15,1.2
S11-E2,3,23,1.8
S11-E2,4,37,2.9
S11-E2,1,42,3.3
S11-E2,5,47,3.6
S11-E2,6,134,10.4
S11-E2,9,159,12.3
S11-E2,10,168,13.0
S11-E2,8,310,24.0
S11-E2,7,354,27.5
S11-E20,3,22,1.8
S11-E20,2,24,2.0
S11-E20,4,26,2.2
S11-E20,1,29,2.4
S11-E20,5,58,4.9
S11-E20,9,84,7.0
S11-E20,6,158,13.2
S11-E20,10,166,13.9
S11-E20,8,223,18.7
S11-E20,7,405,33.9
S11-E21,4,24,2.0
S11-E21,3,24,2.0
S11-E21,2,29,2.4
S11-E21,1,52,4.2
S11-E21,5,61,5.0
S11-E21,9,91,7.4
S11-E21,6,150,12.2
S11-E21,10,172,14.0
S11-E21,8,254,20.7
S11-E21,7,369,30.1
S11-E22,2,20,1.3
S11-E22,3,27,1.8
S11-E22,4,40,2.6
S11-E22,1,64,4.2
S11-E22,5,68,4.4
S11-E22,6,93,6.0
S11-E22,7,219,14.2
S11-E22,9,242,15.7
S11-E22,8,354,23.0
S11-E22,10,411,26.7
S11-E3,3,18,1.4
S11-E3,2,19,1.4
S11-E3,4,22,1.7
S11-E3,1,40,3.0
S11-E3,5,45,3.4
S11-E3,9,136,10.4
S11-E3,6,146,11.1
S11-E3,10,180,13.7
S11-E3,8,349,26.6
S11-E3,7,357,27.2
S11-E4,3,11,0.7
S11-E4,4,22,1.5
S11-E4,2,22,1.5
S11-E4,1,44,2.9
